Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,632000,641000,627000,630000,624001.625,40779
2020-01-21,630000,641000,627000,632000,625982.625,59896
2020-01-22,638000,644000,632000,643000,636877.875,56758
2020-01-23,640000,646000,638000,646000,639849.3125,51057
2020-01-28,637000,652000,636000,644000,637868.375,90471
2020-01-29,644000,658000,641000,649000,642820.75,80218
2020-01-30,651000,665000,651000,655000,648763.625,77424
2020-01-31,659000,659000,632000,636000,629944.5,107016
2020-02-03,636000,648000,633000,640000,633906.4375,94982
2020-02-04,646000,660000,638000,656000,649754.125,71409
2020-02-05,652000,664000,651000,657000,650744.5625,69095
2020-02-06,663000,675000,657000,670000,663620.8125,79693
2020-02-07,663000,677000,662000,672000,665601.75,58755
2020-02-10,661000,669000,638000,648000,641830.25,120937
2020-02-11,648000,656000,631000,644000,637868.375,120028
2020-02-12,636000,660000,635000,650000,643811.25,172621
2020-02-13,647000,654000,624000,629000,623011.1875,156229
2020-02-14,635000,661000,630000,657000,650744.5625,157977
2020-02-17,660000,666000,651000,658000,651735.0625,44676
2020-02-18,652000,658000,646000,655000,648763.625,52270
2020-02-19,667000,689000,660000,687000,680458.9375,140128
2020-02-20,700000,711000,674000,676000,669563.6875,110032
2020-02-21,661000,689000,661000,669000,662630.3125,79837
2020-02-24,670000,687000,661000,663000,656687.4375,96037
2020-02-25,667000,669000,648000,669000,662630.3125,92439
2020-02-26,665000,673000,657000,672000,665601.75,89770
2020-02-27,668000,675000,649000,654000,647773.125,68808
2020-02-28,654000,659000,641000,649000,642820.75,122145
2020-03-02,657000,665000,639000,661000,654706.5,75909
2020-03-03,675000,686000,669000,679000,672535.125,111858
2020-03-04,698000,723000,692000,720000,713144.75,156369
2020-03-05,722000,725000,705000,711000,704230.4375,115007
2020-03-06,703000,707000,694000,700000,693335.1875,94325
2020-03-09,700000,700000,700000,700000,693335.1875,0
2020-03-10,666000,689000,666000,676000,669563.6875,117053
2020-03-11,671000,680000,654000,666000,659658.875,112122
2020-03-12,666000,666000,666000,666000,659658.875,0
2020-03-13,581000,661000,580000,641000,634896.9375,229329
2020-03-16,636000,656000,593000,595000,589334.875,201806
2020-03-17,561000,597000,561000,577000,571506.25,271203
2020-03-18,583000,608000,570000,570000,564572.9375,211341
2020-03-19,580000,588000,504000,530000,524953.75,400206
2020-03-20,559000,574000,542000,567000,561601.5,236382
2020-03-23,532000,597000,531000,572000,566553.875,175741
2020-03-24,587000,650000,584000,649000,642820.75,236136
2020-03-25,678000,690000,626000,651000,644801.6875,183766
2020-03-26,651000,660000,621000,625000,619049.25,171361
2020-03-27,645000,646000,611000,622000,616077.8125,167169
2020-03-30,611000,632000,604000,624000,618058.75,95800
2020-03-31,621000,657000,621000,652000,645792.1875,193212
2020-04-01,647000,670000,614000,618000,612115.9375,123474
2020-04-02,638000,666000,620000,656000,649754.125,148473
2020-04-03,649000,657000,634000,647000,640839.8125,99891
2020-04-06,652000,678000,651000,678000,671544.625,97158
2020-04-07,674000,687000,664000,675000,668573.1875,99068
2020-04-08,667000,675000,659000,663000,656687.4375,106457
2020-04-09,663000,668000,648000,655000,648763.625,163906
2020-04-10,657000,659000,645000,650000,643811.25,87704
2020-04-13,651000,659000,648000,651000,644801.6875,50919
2020-04-14,653000,656000,648000,656000,649754.125,80586
2020-04-16,656000,663000,645000,655000,648763.625,112493
2020-04-17,661000,664000,645000,649000,642820.75,143976
2020-04-20,649000,657000,638000,642000,635887.375,116669
2020-04-21,644000,650000,620000,642000,635887.375,124368
2020-04-22,641000,677000,632000,677000,670554.1875,139859
2020-04-23,671000,680000,660000,661000,654706.5,104028
2020-04-24,656000,673000,648000,653000,646782.6875,98673
2020-04-27,650000,653000,625000,630000,624001.625,216386
2020-04-28,631000,648000,630000,648000,641830.25,100854
2020-04-29,647000,648000,639000,643000,636877.875,89309
2020-05-04,633000,635000,622000,624000,618058.75,127354
2020-05-06,639000,641000,629000,641000,634896.9375,79496
2020-05-07,641000,652000,639000,646000,639849.3125,86250
2020-05-08,653000,688000,650000,679000,672535.125,194176
